timestamp;accX;accY;accZ;gyroX;gyroY;gyroZ
813259;9.0;2.0;2048.0;-3.0;2.0;-1.0
813262;-9.0;4.0;2041.0;-1.0;0.0;-3.0
813266;1.0;6.0;2040.0;-2.0;3.0;-1.0
813269;-8.0;12.0;2046.0;-3.0;2.0;0.0
813273;-9.0;-6.0;2035.0;-1.0;1.0;-1.0
813276;-6.0;0.0;2045.0;-3.0;-2.0;-4.0
813280;1.0;5.0;2053.0;-3.0;-1.0;-4.0
813283;7.0;-2.0;2047.0;-1.0;-3.0;-7.0
813287;-3.0;5.0;2052.0;0.0;0.0;-3.0
813290;2.0;-4.0;2050.0;-3.0;0.0;-2.0
813294;1.0;0.0;2042.0;-4.0;0.0;0.0
813297;12.0;0.0;2053.0;-2.0;0.0;1.0
813301;1.0;7.0;2039.0;0.0;0.0;-4.0
813304;1.0;11.0;2047.0;-1.0;0.0;1.0
813308;11.0;4.0;2050.0;-1.0;-1.0;2.0
813311;-4.0;9.0;2047.0;1.0;-1.0;2.0
813315;5.0;-4.0;2057.0;4.0;4.0;-4.0
813318;-5.0;13.0;2036.0;1.0;3.0;-2.0
813322;-2.0;8.0;2043.0;1.0;1.0;-1.0
813325;19.0;-2.0;2041.0;1.0;1.0;-1.0
813329;-9.0;6.0;2043.0;0.0;3.0;-2.0
813332;-7.0;12.0;2051.0;1.0;6.0;-1.0
813336;2.0;3.0;2050.0;-2.0;5.0;-2.0
813339;-6.0;0.0;2037.0;0.0;0.0;-5.0
813343;5.0;4.0;2052.0;0.0;-2.0;-3.0
813346;-8.0;5.0;2042.0;2.0;-1.0;-4.0
813350;-7.0;-8.0;2050.0;-1.0;-2.0;-3.0
813353;-3.0;8.0;2046.0;3.0;1.0;-1.0
813357;2.0;1.0;2053.0;-3.0;3.0;0.0
813360;-6.0;12.0;2046.0;0.0;-3.0;0.0
813364;0.0;-3.0;2050.0;-1.0;0.0;-2.0
813367;5.0;9.0;2038.0;-4.0;0.0;1.0
813371;0.0;5.0;2049.0;-2.0;1.0;-5.0
813374;-5.0;18.0;2032.0;0.0;3.0;-5.0
813378;4.0;6.0;2050.0;2.0;7.0;-3.0
813381;10.0;2.0;2037.0;-2.0;-1.0;1.0
813385;5.0;2.0;2050.0;1.0;-1.0;1.0
813388;-8.0;2.0;2062.0;2.0;-1.0;-5.0
813392;-4.0;8.0;2056.0;-1.0;-3.0;-4.0
813395;2.0;9.0;2059.0;5.0;1.0;-2.0
813399;1.0;11.0;2059.0;-1.0;5.0;2.0
813402;-8.0;-1.0;2057.0;-3.0;3.0;-6.0
813406;6.0;11.0;2053.0;-1.0;0.0;2.0
813409;-1.0;10.0;2050.0;-1.0;3.0;-5.0
813413;3.0;11.0;2043.0;0.0;3.0;-5.0
813416;0.0;0.0;2048.0;-1.0;-2.0;0.0
813420;0.0;0.0;2037.0;-1.0;-1.0;-2.0
