timestamp;accX;accY;accZ;gyroX;gyroY;gyroZ
867157;3.0;-24.0;2030.0;-9.0;-1.0;-4.0
867160;0.0;-13.0;2043.0;-9.0;-4.0;0.0
867164;-5.0;-22.0;2040.0;-12.0;-7.0;-2.0
867167;32.0;-27.0;2041.0;-6.0;-5.0;-3.0
867171;198.0;-19.0;2025.0;1.0;-7.0;3.0
867174;523.0;18.0;2053.0;6.0;-7.0;8.0
867178;535.0;-2.0;2067.0;5.0;-5.0;4.0
867181;418.0;-43.0;2056.0;-15.0;-10.0;-4.0
867185;323.0;-109.0;2022.0;-24.0;-9.0;-6.0
867188;230.0;-133.0;2042.0;-15.0;-7.0;9.0
867192;156.0;-94.0;2033.0;-6.0;-9.0;12.0
867195;93.0;-127.0;2026.0;12.0;-8.0;-1.0
867199;100.0;-111.0;2060.0;26.0;-6.0;-10.0
867202;76.0;-129.0;2036.0;30.0;-7.0;-10.0
867206;78.0;-126.0;2026.0;31.0;-5.0;-5.0
867209;86.0;-90.0;2033.0;31.0;-8.0;4.0
867213;113.0;-92.0;2052.0;29.0;-13.0;5.0
867216;175.0;-96.0;2046.0;26.0;-14.0;10.0
867220;230.0;-110.0;2049.0;28.0;-19.0;23.0
867223;210.0;-89.0;2031.0;35.0;-22.0;28.0
867227;314.0;-75.0;2032.0;47.0;-26.0;31.0
867230;344.0;-49.0;2047.0;53.0;-35.0;29.0
867234;433.0;21.0;2061.0;54.0;-44.0;12.0
867237;712.0;213.0;2117.0;15.0;-43.0;-46.0
867241;852.0;109.0;2039.0;-39.0;-14.0;-157.0
867244;893.0;91.0;2050.0;-27.0;-4.0;-249.0
867248;870.0;44.0;2064.0;-14.0;6.0;-319.0
867251;841.0;36.0;2077.0;-8.0;21.0;-365.0
867255;742.0;-22.0;2027.0;-10.0;31.0;-397.0
867258;698.0;-30.0;2028.0;-5.0;22.0;-426.0
867262;674.0;42.0;2019.0;-13.0;22.0;-453.0
867265;709.0;-16.0;2078.0;-29.0;13.0;-497.0
867269;735.0;-15.0;2061.0;-56.0;1.0;-536.0
867272;762.0;26.0;2056.0;-53.0;2.0;-563.0
867276;710.0;-22.0;2014.0;-47.0;5.0;-567.0
867279;674.0;39.0;2049.0;-13.0;0.0;-540.0
867283;579.0;139.0;2032.0;8.0;-1.0;-508.0
867286;473.0;178.0;2046.0;10.0;2.0;-487.0
867290;411.0;142.0;2025.0;9.0;5.0;-449.0
867293;321.0;16.0;2102.0;-4.0;-3.0;-376.0
867297;154.0;113.0;2034.0;33.0;-3.0;-261.0
867300;51.0;43.0;2053.0;19.0;5.0;-200.0
867304;-106.0;-33.0;2057.0;11.0;2.0;-136.0
867307;-203.0;-61.0;2029.0;1.0;-3.0;-107.0
867311;-216.0;-221.0;1994.0;-13.0;-2.0;-74.0
867314;-367.0;-233.0;2018.0;-6.0;0.0;-29.0
867318;-279.0;-254.0;2027.0;-2.0;-6.0;-15.0
867321;-285.0;-118.0;2090.0;15.0;-3.0;-67.0
867325;-257.0;-276.0;2039.0;-18.0;-1.0;-163.0
867328;-192.0;-303.0;2064.0;-5.0;-4.0;-200.0
867332;-185.0;-288.0;2082.0;4.0;-1.0;-222.0
867335;-39.0;-262.0;2095.0;5.0;3.0;-228.0
867339;84.0;-198.0;2049.0;5.0;1.0;-220.0
867342;145.0;-121.0;2009.0;0.0;7.0;-208.0
867346;218.0;-64.0;2048.0;2.0;4.0;-185.0
867349;323.0;-9.0;2038.0;-3.0;3.0;-157.0
867353;226.0;97.0;2104.0;3.0;2.0;-111.0
867356;40.0;244.0;2122.0;31.0;-8.0;-184.0
867360;14.0;-45.0;1994.0;-66.0;-15.0;-250.0
867363;-32.0;-139.0;2029.0;-87.0;-15.0;-241.0
867367;-14.0;-40.0;2072.0;-49.0;-22.0;-214.0
867370;-28.0;63.0;2022.0;-40.0;-9.0;-202.0
867374;-25.0;210.0;2031.0;-33.0;-7.0;-221.0
867377;-34.0;259.0;2052.0;-25.0;-11.0;-255.0
867381;-62.0;199.0;2014.0;-33.0;-11.0;-296.0
867384;-107.0;147.0;2055.0;-32.0;-12.0;-336.0
867388;-200.0;44.0;2035.0;-30.0;-9.0;-368.0
867391;-281.0;-14.0;2016.0;-10.0;-2.0;-386.0
867395;-313.0;-22.0;1992.0;0.0;-3.0;-392.0
867398;-322.0;9.0;2027.0;15.0;0.0;-409.0
867402;-342.0;2.0;2012.0;11.0;3.0;-439.0
867405;-387.0;-7.0;2042.0;14.0;7.0;-472.0
867409;-424.0;-74.0;2033.0;12.0;8.0;-491.0
867412;-362.0;-105.0;2068.0;18.0;-3.0;-495.0
867416;-417.0;-130.0;2054.0;14.0;2.0;-483.0
867419;-420.0;-166.0;2057.0;0.0;3.0;-448.0
867423;-435.0;-206.0;2078.0;4.0;1.0;-393.0
867426;-416.0;-206.0;2052.0;11.0;2.0;-324.0
867430;-476.0;-187.0;2065.0;14.0;7.0;-261.0
867433;-475.0;-193.0;2076.0;16.0;13.0;-200.0
867437;-528.0;-201.0;2051.0;20.0;10.0;-152.0
867440;-572.0;-177.0;2062.0;12.0;11.0;-108.0
867444;-649.0;-159.0;2089.0;13.0;8.0;-68.0
867447;-671.0;-162.0;2049.0;2.0;8.0;-30.0
